additional_option,attachments,author_icon,author_id,author_name,comments,content,content_summary,create_time,favorites,id,is_digest,is_edited,is_hot,is_question,is_recommend,is_solved,is_top,last_post_time,level_name,likes,pictures,publish_time,replies,section_icon,section_id,section_name,shares,status,tags,title,topic_class_id,topic_class_name,topic_id,update_time,upload_info,views
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 1, ""onlyAuthorVisible"": null}",0,,,,0,,图形化 如果官方能出一个图形化来修改与转换cann的工具就好了，这样抽象程度就大大提升了,20250808115208,0,0397190036328120351,False,False,False,False,False,False,False,20250808115208,,0,0,20250808115208,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""533b47054af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",CANN的api有出图形化的吗？,0672154839186846001,心得分享,0297190036328120221,,[],1
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,https://www.hiascend.com/p/avatar/ascend/7bffd68b8c6d4efe8a2ccf38f66cff91.png,482ecb08413b4b77b8c2a04191392446,DeepSeek-R1,0,,学习纪要 知识严谨型 在大模型生成知识严谨内容时，提示词的设计需要更注意引导模型生成准确、可验证，且带有逻辑的内容。 明确信息来源约束 引用权威：请引用《Nature》等期刊近5年的研究说明。。。 数据时效限定：使用2023年后的统计数据进行论证。。。 领域术语控制：区分“机器学习”与“深度学习”的学术定义后展开讨论。。。 强化逻辑验证要求 分步推理指令：先解释原理，再列举证据，最后评估可靠性。。。 反事实检验：请验证该结论是否满足因果关系的三个条件。。。 结构化输出：按“背景-争议点-证据-结论”四部分撰写。。。 抑制幻觉与模糊表述 精准性指令：不确定的信息请标注“待验证”。。。 错误排查要求：若发现数据矛盾，请指出具体冲突点。。。 多源验证机制：仅回答有至少三个独立信源支持的内容。。。 创新创作类 在大模型生成创新创作内容时，提示词的设计需激发模型的想象力，突破常规思维，同时保持内容的连贯性与独特性。 跨界映射启发联想 反事实推理 提示工程任务 防止“知识过载”：请用一句话提炼本段内容的核心意见。 防止“创意脱轨”：分阶段验证，概念->技术->成本 学习心得 提示工程是一门复杂的学问，想要大模型更好的回答问题，就需要学好这门课程,20250808074508,0,0350190021507721335,False,False,False,False,False,False,False,20250808074508,Lv 0,0,0,20250808074508,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",【0805-DAY11学习笔记】+ 提示工程任务,0672154839186846001,心得分享,0250190021507721204,,[],3
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,https://www.hiascend.com/p//avatar/ascend/fc384559baea4fbfbbfb2106efe90887.jpg,a66469ad72594dee9fcaa0fd2ec15395,hid_cplfok193,0,,学习DeepSeek-R1-Distill-Qwen-1.5B模型的推理流程与性能优化，从权重加载、推理启动到效果调优、性能测试，每一步都让我对大模型落地应用的最后一公里有了深刻理解，也能够掌握让模型又快又好工作的关键技巧。 模型推理的第一步是权重加载。经过LoRA微调后的模型，包含base model和LoRA adapter两部分。加载时，先通过AutoModelForCausalLM.from_pretrained加载基础模型权重，再用PeftModel.from_pretrained加载适配器权重，就像给基础模型安装个性化插件，让推理结果融入微调后的定制化能力。这一步让我明白，推理不是简单调用预训练模型，而是整合微调成果，让模型输出更贴合特定任务。启动推理则通过`model.generate`实现，搭配`generate_kwargs`设置参数，控制输出长度、随机性与风格。这是模型从静态权重到动态输出的关键一步，参数配置直接影响回答质量，像温度系数调高，回答更发散；调低则更聚焦，让我意识到“推理参数是模型输出的调节阀”。效果比较与调优环节，直观展现了微调的价值加载LoRA adapter前后，模型回答从DeepSeek-R1变为“甄嬛”，证明微调能让模型身份、风格适配定制需求。而长文本输出重复问题，通过添加`repetition_penalty=1.2`解决，这是针对模型长篇啰嗦的补丁，让输出更简洁、更有逻辑。 这些实践让我懂得，模型推理不是一劳永逸，而是需要根据场景（如对话、长文本生成 ）持续调优。就像人说话，要根据听众反馈调整表达，模型也需通过参数微调，适配不同输出需求，让回答既精准又自然。 性能测试与优化，是让模型在硬件限制下高效运行的关键：性能测试：通过`export INFERENCE_TIME_RECORD=True`记录推理耗时，发现禁用多线程（`disable_multi_thread()` ）可小幅提升速度（从0.727秒到0.674秒 ），这让我看到“线程管理”对推理效率的影响，不是线程越多越好，有时精简反而更快； 性能优化：jit即时编译是大杀器，虽因`model.generate`封装需手动实现解码逻辑，但优化后单个token推理时间从1.1秒降至0.32秒，效率显著提升。此外，设置O2整图下沉、实例化`StaticCache`、优化,20250807153634,0,03102189963393553309,False,False,False,False,False,False,False,20250807153634,Lv 0,0,0,20250807153634,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",《昇思学习营-模型推理和性能优化学习心得》,0672154839186846001,心得分享,02102189963393553190,,[],3
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,https://www.hiascend.com/p//avatar/ascend/fc384559baea4fbfbbfb2106efe90887.jpg,a66469ad72594dee9fcaa0fd2ec15395,hid_cplfok193,0,,近期学习DeepSeek - R1 - Distill - Qwen - 1.5B模型的LoRA微调，从理论原理到昇思+开发板实战，收获了对模型高效微调的系统认知，也掌握了实际操作中的关键技巧与优化思路。LoRA微调的核心逻辑，是冻结预训练模型的原始权重，在Attention层等关键位置添加低维度矩阵A和B作为旁支。训练时仅更新这两个矩阵，大幅减少可训练参数（案例中参与微调的参数仅占0.5%），实现“以小代价换模型适配特定任务”的目标。这种思路，让资源有限的开发者也能对大模型进行定制化微调，无需承担全量参数训练的高额成本，为模型个性化应用打开了大门。昇思MindSpore框架下的微调实战，从环境准备到代码实现，每一步都充满技术细节。 流程清晰：环境准备与检查、代码下载、权重下载、其他环境准备、启动运行，虽因演示简化步骤，但能感受到“从0到1”微调模型的完整链路。尤其是权重加载、配置LoraConfig、实例化模型等关键步骤，对应着LoRA原理的工程落地。 代码细节：数据预处理时，MindSpore与Hugging Face Transformers的差异（通过.map(...)方法结合数据处理Pipeline），让我意识到不同框架的独特语法；自定义SavePeftModelCallback保存LoRA adapter权重，确保微调过程可追溯、可复用，这些代码实现知识点，是让模型微调从“理论”走到“可用”的关键。 实战中，硬件资源（内存、显存）的限制是绕不开的挑战，而优化方案则是解题钥匙： 权重加载优化：直接加载fp16权重而非fp32转fp16，显著降低内存占用（从5671.4 MiB到2281.7 MiB），这一细节提醒我，模型加载的每一步都有优化空间，选对权重格式能大幅减轻资源压力。 进程与内存控制：通过设置环境变量（MAX_COMPILE_CORE_NUMBER、TE_PARALLEL_COMPILER）限制Python进程数，用cgroup手动限制进程内存占用、开启swap释放NPU资源，这些策略让我学会在硬件瓶颈下精打细算，把有限资源留给模型训练，确保微调任务能在开发板上顺利推进。 这次学习，让我深刻体会到“理论+框架+硬件+优化”的技术融合魅力。LoRA微调原理是地基，昇思框架是建筑工具，开发板实战是施工过程，优化方案是质量保障。作为开发者，不仅要理解L,20250807143712,0,0350189959832041304,False,False,False,False,False,False,False,20250807143712,Lv 0,1,0,20250807143712,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",《昇思学习营-模型LoRA微调学习心得》,0672154839186846001,心得分享,0250189959832041190,,[],2
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,8606237b7e4f496c8f8226b046903b09,yufu,0,,模型推理面临两大瓶颈：显存不足（大模型参数装不进显卡）和计算效率低（生成结果慢如蜗牛）。例如，1750亿参数的模型全精度加载需560GB显存，而消费级显卡仅24GB，必须依赖量化、缓存等技术压缩资源占用。 1.关键技术化解瓶颈 量化压缩：像压缩图片一样降低参数精度（如32位→8位），显存需求直降75%，速度提升2倍以上，且效果损失可控。 KV缓存：通过缓存历史计算结果（如对话上下文），避免重复计算。例如ChatGPT的流式输出依赖此技术，长文本生成速度可提升5倍。 并行计算：多GPU协作分摊负载，如同“团队接力”，8卡并行可使吞吐量提升近8倍。 2.工程思维决定落地效果 动态优化：需根据硬件调整策略（如手机端用4位量化，服务器用8位+并行）。 迭代测试：优化后必须验证效果衰减（如量化后测试回答准确性），平衡效率与质量。 模块化设计：类似LoRA的“插件式优化”，将缓存、量化等功能解耦，灵活适配不同场景。 综上，模型推理优化是“带着镣铐跳舞”：用技术突破硬件限制，靠工程思维找到资源与效果的平衡点。掌握量化、缓存等核心技术，结合动态调优策略，方能让大模型在资源受限环境下高效运行。,20250807103400,0,0359189945240264261,False,False,False,False,False,False,False,20250807103400,Lv 0,0,0,20250807103400,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",《昇思学习营-模型推理与性能优化》,0672154839186846001,心得分享,0259189945240264161,,[],3
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,8606237b7e4f496c8f8226b046903b09,yufu,0,,LoRA的核心思路是不改动原始模型，而是加一层可拆卸的“补丁”。训练时只更新这层补丁，显存需求暴降——例如70亿参数的模型，全量微调需36GB显存，LoRA微调后只需14GB，普通显卡也能跑。 LoRA的“补丁”可随时插拔：避免遗忘旧技能：原始模型知识完全保留（比如数学能力），新增任务（如写诗）由补丁单独承担；多任务秒切换：训练不同任务的补丁（医疗问答/客服回复），部署时按需加载，省去重复存储大模型。 LoRA效果依赖两个关键参数：精细度（r值）：决定补丁多精细。简单任务（r=8）像模糊滤镜，复杂任务（r=64）像高清修图；强度（alpha值）：控制补丁影响力。通常设为r值的1-2倍（如r=8时alpha=16），避免补丁效果太弱或喧宾夺主。 LoRA虽省资源但有局限：效果天花板：补丁表达能力有限，极端复杂任务不如全量微调；依赖基础模型：若原模型不懂基础逻辑（比如因果推理），补丁无法凭空造能力 ；需反复调试：首次训练常需调整秩、目标层等参数，像试错中找最佳配方。 综上LoRA让大模型微调从“重装系统”变成“打补丁”，显著降低新手门槛。其核心价值是：用小代价实现定制化，同时保留模型原有能力。理解“补丁机制”和参数作用后，即使资源有限也能高效实践。,20250807091833,0,0359189940712831257,False,False,False,False,False,False,False,20250807091833,Lv 0,0,0,20250807091833,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",《昇思学习营-LoRA微调》,0672154839186846001,心得分享,0259189940712830159,,[],2
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,8606237b7e4f496c8f8226b046903b09,yufu,0,,通过学习模型开发与适配，我深刻认识到此过程远非简单调用工具，而是一个需要系统思维与工程实践的复合工程。核心体会有三点： 理论联系实践：仅理解算法理论远远不够，必须亲历整个流程——从数据清洗与特征工程开始，到模型选择、训练、评估，直至最终优化部署与监控。每个环节的决策（如数据划分策略、评价指标选定）直接影响模型泛化能力。 工程素养至上：掌握清晰的数据流组织方式、严谨的版本控制（代码、模型、数据）、完整的实验记录与参数追踪，以及编写可复现、模块化的代码，是保障项目成功和团队协作的基础工程素养，其重要性甚至不亚于模型本身的性能。 迭代认知核心：“一次性构建完美模型”是巨大误区。模型的开发与适配本质上是持续的迭代优化循环，必须基于监控反馈、新数据和新需求反复进行调整（如超参数优化、架构更新、重新训练/微调），并深刻理解其部署环境限制（延迟、算力、平台兼容性）。 综上，模型构建成功的关键在于融合扎实理论、严谨工程实践与拥抱持续迭代优化的思维框架，将其视为动态过程而非静态成品方能有效驾驭。,20250807085615,0,0397189939374580303,False,False,False,False,False,False,False,20250807085615,Lv 0,0,0,20250807085615,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",《昇思学习营-模型开发与适配》,0672154839186846001,心得分享,0297189939374580198,,[],4
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,2363768cdd014c279e43f55b6ed86c6d,hid_k84n_kih6e1ftut,0,,本章最大的收获是掌握提示工程实验方法论：通过设计对照组（如调整温度参数/添加关键词）量化提示效果，验证了“少样本示例的排列顺序影响输出稳定性”等理论。我将用A/B测试思维优化工作提示——比如对周报生成任务，分别测试“时间线描述”与“成果优先”两种提示结构，选择耗时缩短35%的方案固化到模板中。理论小结揭示的“系统链式反应”规律更让我意识到：单个提示的优化需放在完整工作流中评估价值。,20250807064857,0,0350189931736783268,False,False,False,False,False,False,False,20250807064857,Lv 0,0,0,20250807064857,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6ddb506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]","第3章提示工程进阶指南
4.8实验
4.7本章理论小结",0672154839186846001,心得分享,0250189931736783177,,[],3
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,https://www.hiascend.com/p//avatar/ascend/1d28b770a0c94724be7ee18e14de5e5f.jpg,9e620febd63044abbfcd04498a758f11,toolsmanhehe,0,,知识严谨类 明确信息来源约束 强化逻辑验证要求 抑制幻觉和模糊表达 创新创作类 跨界映射启发联想 反事实推理 例子 智能家居产品开发 整理近十年的智能家居技术发展趋势，用模块化家居的理念设计3种空间优化方案。成本低于1000元，需要选用成熟度较高的产品。,20250806155721,0,0350189878136837250,False,False,False,False,False,False,False,20250806155537,Lv 0,0,0,20250806155721,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",【0805-DAY11学习笔记】提示工程任务,0672154839186846001,心得分享,0250189878136837171,,[],3
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,ac1065495c034b4cb4f10f902e983107,chen00,0,,提示工程的任务，从“知识严谨、创新创作”来看，主要有这两点： 1. 保证知识严谨 就是让AI说的内容准确、有依据。比如问科学知识，要提示AI按公认的原理来回答，不能乱编；写专业内容时，得让它用规范的说法，不能出错。 2. 兼顾创新创作 在保证内容靠谱的基础上，让输出有点新意。比如同样是讲历史事件，不光要把时间、经过说对，还可以让AI换种表达方式，像用简单的故事形式来讲，既准确又好懂，不那么死板。,20250806155557,0,0397189878157426269,False,False,False,False,False,False,False,20250806155557,Lv 0,1,0,20250806155557,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20230425011200.42715414846013216093333785660634:20250814024334:2400:AB0CD4723AC8633941BBFBCE963C3533E6F528EF8F36CE841D4F6911537DBC3C.png,0157117713657966001,昇腾学堂,0,2,"[{""topicTagId"": ""6c3e6e2b506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",【0805-DAY11学习笔记】+提示工程任务,0672154839186846001,心得分享,0297189878157426179,,[],2
