additional_option,attachments,author_icon,author_id,author_name,comments,content,content_summary,create_time,favorites,id,is_digest,is_edited,is_hot,is_question,is_recommend,is_solved,is_top,last_post_time,level_name,likes,pictures,publish_time,replies,section_icon,section_id,section_name,shares,status,tags,title,topic_class_id,topic_class_name,topic_id,update_time,upload_info,views
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 1, ""onlyAuthorVisible"": null}",0,,,,0,,"在使用 ATC 工具将 ONNX 格式的模型转换为 OM 模型时，出现了算子适配错误。错误日志显示 “Unsupported operator: xxx”，其中 “xxx” 是 ResNet-50 中的某个自定义算子。 该问题是可复现的，复现步骤为：使用 MindSpore 的export接口将 PyTorch 预训练的 ResNet-50 模型转为 ONNX 格式，然后执行 ATC 转换命令 “atc --model=resnet50.onnx --framework=5 --output=resnet50 --input_format=NCHW --input_shape=""input:1,3,224,224"" --log=info”，随后出现上述错误。",20250812091113,0,0350190372272635444,False,False,False,False,False,False,False,20250812091659,,0,0,20250812091113,2,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""6c3e6e21506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""6c3e6e2b506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",ResNet-50 迁移昇腾 Ascend 310 时的算子适配问题​,0697178462739351002,经验分享,0250190372272635249,,[],7
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,f808ad4295d04d299615bb2665cd2fd7,hid_waqhpaxsileubrt,0,,大家好，最近半年一直在基于昇腾系列芯片做 AI 模型的部署与优化，从最初面对异构计算架构的一头雾水，到现在能稳定跑通多个工业级推理任务，踩了不少坑，也攒了些实操心得，今天整理出来和大家聊聊，希望能给刚接触昇腾的朋友少走点弯路。 第一个想聊的是算子适配的 “避坑指南”。昇腾的算子库虽然覆盖了主流场景，但遇到一些自定义算子时，直接移植往往会出现精度偏差。我的经验是先通过 TBE（Tensor Boost Engine）工具进行算子分析，优先用 ATC（Ascend Tensor Compiler）的自动优化功能，实在需要手动开发的，记得结合昇腾的算力特性调整数据并行策略 —— 比如针对 ResNet 这类网络，把卷积算子拆分到不同 AI Core 上并行计算，能比单芯运行提速 30% 以上。 其次是模型迁移的 “性价比法则”。很多人觉得迁移就是简单的格式转换，其实不然。我试过把一个基于 PyTorch 训练的目标检测模型迁移到昇腾时，直接用 OM 格式转换后推理速度很慢，后来发现是没利用好昇腾的动态 batch 功能。调整输入批次自适应策略后，配合 MindSpore 的静态图优化，不仅推理延迟降低了 40%，显存占用也减少了近一半。所以建议迁移前先做模型 profiling，针对性优化计算密集型层。 最后想分享的是工程落地的 “协同思维”。昇腾的优势不仅在硬件，更在 “芯片 + 框架 + 行业解决方案” 的生态。我们团队做工业质检项目时，最初只盯着模型精度，忽略了昇腾提供的边缘计算 SDK，后来接入 Atlas 200I DK A2 开发者套件的摄像头直连功能，结合 MindX SDK 里的预处理模块，端到端 latency 直接压到了 20ms 以内，完全满足实时检测需求。这让我明白，用好昇腾的生态工具链，往往比单纯调优模型更事半功倍。 总的来说，昇腾给开发者提供的不仅是算力，更是一套从训练到部署的全栈支持。如果大家在使用中也有关于算子优化、模型迁移的心得，欢迎在评论区交流，一起把昇腾的性能榨得更足～,20250811093418,0,0397190287258383401,False,False,False,False,False,False,False,20250811093418,Lv 0,1,0,20250811093418,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""533b48524af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""6c3e6e21506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""6c3e6e2b506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""6c3e6e45506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",从入门到落地：我用昇腾 AI 芯片部署推理模型的 3 个关键经验分享,0697178462739351002,经验分享,0297190287258383238,,[],12
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,https://www.hiascend.com/p//avatar/ascend/2e37fecd2a5b435ea5c83e327543c736.png,2ed87250e8fa420db9717a8ca0ed5c0a,昇腾维护_gzm,0,,"【问题现象】 llm-datadist的 cache manager模式，使用rank_table跨机建链的时候会卡死失败超时 【产品及版本】 CANN 【相关日志信息】 [ERROR] HCCL(261425,python):2025-07-18-14:45:59.000.228 [hccl_socket_manager.cc:778] [275845][Wait][LinkEstablish]wait socket establish timeout, role[0] rank[0] timeout[120]
[ERROR] HCCL(261425,python):2025-07-18-14:45:59.000.447 [hccl_socket_manager.cc:830] [275845][Wait][LinksEstablishCompleted] is failed. ret[9].
[ERROR] HCCL(261425,python):2025-07-18-14:45:59.000.456 [hccl_socket_manager.cc:483] [275845][Create][Sockets]Wait links establish completed failed, local role is client. ret[9]
[ERROR] HCCL(261425,python):2025-07-18-14:45:59.000.475 [hccl_socket_manager.cc:591] [275845]   _________________________LINK_ERROR_INFO___________________________
[ERROR] HCCL(261425,python):2025-07-18-14:45:59.000.479 [hccl_socket_manager.cc:592] [275845]   |  comm error, device[0] 
[ERROR] HCCL(261425,python):2025-07-18-14:45:59.000.482 [hccl_socket_manager.cc:594] [275845]   |  dest_ip(user_rank)  |   dest_port",20250811092127,0,0397190286486828397,False,False,False,False,False,False,False,20250811092127,Lv 0,0,0,20250811092127,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""533b47054af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",llm-datadist的 cache manager模式，使用rank_table跨机建链的时候会卡死失败超时,0697178462739351002,经验分享,0297190286486828236,,[],2
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,24214c917f834a0f9ec51720b4802a17,昇腾维护_gch,0,,"问题现象 A+K服务器是arm架构，无法通过pip install decord安装，需进行源码编译安装。 且安装后与A+X服务器x86架构下跑相同代码对比，结果精度不同。 npu（x86架构下）： npu（aarch架构下）： 产品与版本 A+K服务器 定位过程 1、A+K环境下，mindie 2.0.RC2容器中安装decord方法 
echo  ""sslverify=false"" >>/etc/yum.conf
yum install -y git

export BUILD_ROOT_PATH=/anzhuangbao # 改成自己实际需要安装的根目录
 
yum install -y autoconf automake bzip2 bzip2-devel freetype-devel gcc gcc-c++ git libtool make mercurial pkgconfig zlib-devel

curl -O -L -k https://github.com/Kitware/CMake/releases/download/v3.19.3/cmake-3.19.3-Linux-aarch64.sh
chmod +x cmake-3.19.3-Linux-aarch64.sh
./cmake-3.19.3-Linux-aarch64.sh --skip-license --prefix=/usr/local
/usr/local/bin/cmake -version
 
git clone --depth 1 https://code.videolan.org/videolan/x264.git
cd x264
export PATH=""$HOME/bin:$PATH""
PKG_CONFIG_PATH=""$BUILD_ROOT_PATH/ffmpeg_build/lib/pkgconfig"" ./configure --prefix=""$BUILD_ROOT_PATH/ffmpeg_build"" --bindir=""$HOME/bin"" --enable-shared --enable-pic
make -j$(nproc)
make install
 
cd ../
git clone --depth 1 https://chromium.goog",20250811085752,0,0350190285071479402,False,False,False,False,False,False,False,20250811085752,Lv 0,0,3,20250811085752,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""533b485b4af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""6c3e6e45506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",A+K服务器arm架构下decord库的安装方法，抽帧结果与A+X服务器x86架构下不同。,0697178462739351002,经验分享,0250190285071479229,,"[{""sgVideoPlayParam"": null, ""contentCode"": null, ""fileName"": ""pic_0"", ""sgLink"": null, ""videoPlayParam"": null, ""productId"": null, ""filePathType"": 0, ""filePath"": ""https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/834/a0f/9ec/24214c917f834a0f9ec51720b4802a17.20250811090548.65072628973513313869119320868667:20250813024529:2400:CA8A9A37829F3A43BFBEC81CF9D8E98134DA1A139B6134FBE1AEF5308094FAD7.png"", ""needLogin"": 0, ""vdLink"": null, ""productName"": null, ""retryNum"": 0, ""obsPlayLink"": null, ""obsLink"": null, ""imageType"": null, ""fileType"": 0, ""fileId"": null, ""status"": null}, {""sgVideoPlayParam"": null, ""contentCode"": null, ""fileName"": ""pic_1"", ""sgLink"": null, ""videoPlayParam"": null, ""productId"": null, ""filePathType"": 0, ""filePath"": ""https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/834/a0f/9ec/24214c917f834a0f9ec51720b4802a17.20250811085009.51071223769702514220480135353628:20250813024529:2400:2395EE53BB7ADEC18C5E5AC5EC7279E57DC6C67345D831E6230C946367F5D77F.png"", ""needLogin"": 0, ""vdLink"": null, ""productName"": null, ""retryNum"": 0, ""obsPlayLink"": null, ""obsLink"": null, ""imageType"": null, ""fileType"": 0, ""fileId"": null, ""status"": null}, {""sgVideoPlayParam"": null, ""contentCode"": null, ""fileName"": ""pic_2"", ""sgLink"": null, ""videoPlayParam"": null, ""productId"": null, ""filePathType"": 0, ""filePath"": ""https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/834/a0f/9ec/24214c917f834a0f9ec51720b4802a17.20250811085409.83443670260512173008739184318061:20250813024529:2400:14E49F6B581C204C51C33AC2480440972AF5A407C3C9E08265BD817639B1235D.png"", ""needLogin"": 0, ""vdLink"": null, ""productName"": null, ""retryNum"": 0, ""obsPlayLink"": null, ""obsLink"": null, ""imageType"": null, ""fileType"": 0, ""fileId"": null, ""status"": null}]",2
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,https://www.hiascend.com/p//avatar/ascend/2e37fecd2a5b435ea5c83e327543c736.png,2ed87250e8fa420db9717a8ca0ed5c0a,昇腾维护_gzm,0,,【问题现象】 llm-datadist的kv cache manager 模式初始化成功会直接占用10G显存，是否可以通过设置，减少初始化时显存的占用 【产品及版本】 CANN-LLM-DataDist 【分析过程】 关于kv cache manager，用户不能自己申请kv cache，而是从llm-datadist中alloc kv cache。那么llm-datadist初始化时就需要申请内存池，这个内存池大小如果不配置 那么默认是10GB kv cache的管理可参考文档：https://www.hiascend.com/document/detail/zh/canncommercial/81RC1/developmentguide/acce/llmdatadistdevpython/llmpd_42_13.html,20250811084053,0,0397190284052645391,False,False,False,False,False,False,False,20250811084053,Lv 0,0,0,20250811084053,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""533b47054af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",llm-datadist的kv cache manager 模式初始化成功会直接占用10G显存，导致kv cache空间大幅度减少，不知道有没有可以设置的地方,0697178462739351002,经验分享,0297190284052645232,,[],3
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 1, ""onlyAuthorVisible"": null}",0,,,,0,,在昇腾社区一周的学习中，我开启了一段充满挑战与收获的 AI 探索之旅，昇腾社区依托昇腾系列处理器与基础软件，构建起全栈 AI 计算基础设施平台，为开发者提供了丰富的学习资源与实践环境。初入社区，我从快速入门板块入手，逐步在昇腾设备上搭建 CANN 开发运行环境。深入学习 CANN 异构计算架构时，我发现它在昇腾 AI 体系中起着承上启下的关键作用，向上对接 MindSpore、PyTorch、TensorFlow 等多种 AI 框架，向下服务 AI 处理器与编程，其多层次编程接口，让开发者能够快速构建基于昇腾平台的 AI 应用和业务，从中我深切感受到华为在 AI 领域的深厚技术底蕴以及对开发者需求的精准洞察。Ascend C 编程语言的学习给我留下了深刻印象，这是 CANN 针对算子开放场景推出的编程语言，原生支持 C 和 C++ 标准规范，与我的编程习惯高度契合，多层级 API 封装从简单到灵活，无论是基础操作还是复杂逻辑，都能找到合适接口实现；自动并行计算借助 SPMD 技术，实现高效数据并行处理，大幅提升计算速度。后续，我计划深入学习算子开发的性能优化思路与方法，进一步提升模型在昇腾平台的运行效率；同时，尝试将昇腾技术应用于智能安防、智能交通等实际场景，挖掘其在不同行业的应用潜力。,20250810123815,0,0350190211894571362,False,False,False,False,False,False,False,20250810123815,,2,0,20250810123815,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""533b47054af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",昇腾社区一周学习总结,0697178462739351002,经验分享,0250190211894570219,,[],14
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,https://www.hiascend.com/p//avatar/ascend/1d28b770a0c94724be7ee18e14de5e5f.jpg,9e620febd63044abbfcd04498a758f11,toolsmanhehe,0,,提示工程进阶指南 1. 提示语链设计 序列提示链：按照一定的顺序和逻辑进行提示，帮助用户逐步理解和掌握知识。 并行提示链：同时提供多个相关提示，让用户从不同角度理解问题。 反思提示链：引导用户对已学知识进行回顾和反思，加深理解和记忆。 2. Deepseek 等推理模型提问技巧 简洁明确的指令：使用简明扼要的语言，确保指令清晰易懂。 巧用“说人话”提示词：采用通俗易懂的表达方式，使用户更容易接受和理解。 运用深度思考提示词：通过引导性问题激发用户的深度思考，培养批判性思维能力。 3. 文生图大模型提示技巧 5W1H 框架：Who（谁）、What（什么）、Where（哪里）、When（何时）、Why（为什么）、How（如何），全面覆盖问题的各个方面。 4. 文生视频大模型提示技巧 主体 + 运动 + 场景：明确视频中的主要人物或物体、其运动状态以及背景场景，使描述更加生动具体。 5. 提示工程自动化工具和平台 利用自动化工具和平台提高提示工程的效率和准确性，减少人工操作的繁琐步骤。 6. 提示工程应用任务设计技巧 知识严谨型：注重知识的准确性和系统性，适合学术研究和专业领域。 创新创作型：鼓励创新思维和创意表达，适用于艺术创作和设计等领域。 通过以上内容的学习，可以系统地掌握提示工程的各种技巧和方法，提升在实际应用中的效果和效率。,20250808154059,0,0359190049456539344,False,False,False,False,False,False,False,20250811055744,Lv 0,3,0,20250808154059,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""6c3e6e08506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",【十天成长计划】llm prompt总结,0697178462739351002,经验分享,0259190049456539192,,[],8
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,a6c1286afdc447e295b20ae57c16af3c,chnhuaqiushi,0,,十天光阴转瞬即逝，华为《十天成长计划·大模型LLM Prompt初级班》的学习之旅，为我打开了通向大模型核心能力的大门。这不仅是一次技能培训，更是一场关于如何与智能体高效对话的思维革新。 一、 锤炼Prompt设计之道：从模糊到精准 课程最核心的收获，无疑是掌握了设计高质量Prompt的精髓： 1. 目标清晰为先：摒弃“写一篇好文章”这类模糊指令，代之以“为科技爱好者撰写一篇800字科普文，主题是《量子计算的突破：从理论到现实应用》，要求通俗易懂并包含最新案例”。 2. 结构化与上下文为王：学会将复杂任务拆解为步骤链（Chain-of-Thought），并为模型提供充分背景。例如，在分析财报前，先定义关键指标并说明分析框架。 3. 示例引导（Few-shot）显奇效：通过提供1-2个输入输出示例，让模型迅速理解任务模式，在格式生成、风格模仿等任务中效果显著。 4. 角色扮演激活潜能：一句“你是一位资深网络安全专家”，即可让模型的回答瞬间提升专业深度与可信度。 5. 迭代优化是常态：首次结果不尽人意？调整措辞、补充约束、细化要求……在“提问-反馈-优化”的循环中逼近完美答案。 二、 窥见大模型训练殿堂的基石 虽为Prompt课程，但华为老师对模型训练原理的深入浅出讲解，极大拓展了我的认知边界： DeepSeek-V3的训练智慧：其强大推理能力源于严谨的预训练与精调。首先在超大规模高质量多语种文本上进行自监督学习，构建通用语言理解与生成基础；随后通过监督精调（SFT）注入指令遵循能力；关键一步在于基于人类反馈的强化学习（RLHF），利用偏好数据微调模型，使其输出更符合人类价值观与需求，这正是其出色推理与安全性的核心保障。 通义千问的进化之路：阿里云的通义千问同样遵循大模型训练的黄金法则——海量预训练奠定基础，指令精调塑造技能，RLHF对齐优化输出。其特色在于对中文语义和场景的深度优化，以及在特定领域（如法律、医疗）的持续精进，通过领域数据注入和针对性微调，不断提升专业场景表现。 三、 感悟：站在巨人之肩，释放AI潜能 这十天让我深刻领悟：大模型如DeepSeek-V3、通义千问如同蕴藏无尽智慧的巨人，而**精心设计的Prompt，正是唤醒巨人、引导其精准发力的“咒语”**。培训不仅传授了“咒语”的编织技巧（Prompt设计），更揭示了巨人何以如此强大的奥秘（训练逻辑）。,20250808143120,0,0359190045879835340,False,False,False,False,False,False,False,20250808143120,Lv 0,4,0,20250808143120,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""533b484a4af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""533b48524af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""533b485b4af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",【终极打卡任务】十天成长计划·大模型LLM Prompt初级班 ---在华为《十天成长计划》中探寻Prompt与模型的奥秘,0697178462739351002,经验分享,0259190045879835191,,[],6
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,00d45d05b7064706a146bed239afe2fc,梁圣超,0,,从7月8日开始，我们140余名深大电信大一学子一起参加了友学校双创中心组织的嵌入式暑期电子超英训练营，7月26日开始，我又有幸参与了华为线上十天成长计划·大模型LLM Prompt初级班学习。一起结课，谈谈此番感受： 当指尖最后一次将调试通过的STM32代码烧录进开发板，当屏幕上的DeepSeek-R1精准响应我精心设计的Prompt指令——这跨越**四十日硬件疆域深耕**与**十日AI“咒语”锤炼**的旅程，让我站在了电子工程与人工智能的十字路口，真切触摸到智能时代奔涌的“电流”与“数据流”。 一、 炼芯四十日：硬件世界的秩序与掌控 在电子实验室的四十天，是与物理世界最直接的对话： 51的启蒙： 从点亮第一个LED到实现串口通信，寄存器配置如解密码锁，时序逻辑是无声的律令。我学会用示波器捕捉信号的呼吸，用万用表丈量电路的脉搏。硬件世界教会我**严谨**——一个引脚接错，代码便成无本之木；一个延时偏差，通信即陷混沌。 STM32的进阶：进入Cortex-M内核的广阔天地，HAL库的封装带来效率，却也需洞悉底层驱动原理。从GPIO到ADC、TIMER、DMA，资源调度如同指挥交响乐团。FreeRTOS的引入，更让我体会到**并发与实时性**的魔力。硬件开发是**构建秩序的基石**，是对物理法则的精准驾驭。 二、 铸钥十日：解锁AI巨人的思维密码 当思维从电路板跃升至语言模型，华为Prompt课程为我打开了另一维度的“控制台”： 从“焊锡”到“咒语”：不同于硬件调试的物理可见，Prompt是与“硅基大脑”的抽象博弈。课程精髓在于：精准的目标拆解（Chain-of-Thought）如同设计状态机，清晰的约束条件如同配置寄存器，而角色扮演（“你作为嵌入式专家…”）则像为AI加载特定“驱动固件。 DeepSeek-R1与我的“联合调试： 学习后，我尝试用Prompt让DeepSeek-R1解析芯片手册时序图、辅助生成状态机代码框架，甚至模拟硬件故障排查逻辑。这让我深刻体会到：一个设计精良的Prompt，如同烧录进AI“芯片”的完美固件，能将其海量知识定向转化为解决实际工程问题的利器**。而了解其训练基石（海量预训练+SFT+RLHF），更让我明白这份“智能”并非魔法，是数据、算法与工程共同浇筑的丰碑。 三、 交汇：软硬兼修，智驭未来 这场“炼芯”与“铸钥”的双轨学习，绝非割裂,20250808142526,0,0359190045525854339,False,False,False,False,False,False,False,20250808142526,Lv 0,2,0,20250808142526,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""533b484a4af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""533b48524af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""533b485b4af211edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}, {""topicTagId"": ""6c3e6e45506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]",【终极打卡任务】十天成长计划·大模型LLM Prompt初级班  ---《四十日炼芯，十日铸钥：在虚实交汇处洞见智能未来》,0697178462739351002,经验分享,0259190045525854190,,[],7
"{""acceptPostNotice"": null, ""postDisplayDesc"": null, ""anonymous"": 0, ""onlyAuthorVisible"": null}",0,,320a673e524245cc95506ec63a4655f5,igoinghome,0,,12天AI提示工程课程学习成长与感受 通过这12天的系统学习，我完整地掌握了提示工程（Prompt Engineering）的核心知识体系，并深入理解了它与AI交互的未来趋势。从基础概念到高阶技巧，从单一提示到自动化工具，每一步的学习都让我对“如何与AI高效沟通”有了更深刻的认识。 一、学习内容回顾：从基础到进阶 1. 提示工程的核心框架 通过“提示工程进阶指南”思维导图，我系统梳理了6大关键方向： 提示语链设计（序列/并行/反思提示链）：学会如何通过多步骤提示让AI更精准地完成任务。 推理模型提问技巧（如DeepSeek等）：掌握简洁指令、说人话、深度思考提示词，让AI输出更符合人类逻辑的答案。 文生图/文生视频提示技巧（5W1H框架、主体+运动+场景）：了解如何精准描述需求，让AI生成更符合预期的视觉内容。 自动化工具与平台：探索如何用工具提升提示工程效率。 应用任务设计（知识严谨型/创新创作型）：学会针对不同任务类型设计合适的提示策略。 2. Prompt的典型模式与编写指南 课程深入讲解了Prompt的典型模式： 单一提示技术（Zero-shot / One-shot / Few-shot / CoT）：从无示例到逐步引导AI推理。 多重提示技术（自我一致性、方向刺激、生成知识提示）+ 外部工具（RAG/ReAct）：如何结合检索增强和工具调用优化AI回答。 Prompt编写指南（入门原则+进阶误区）： 好提示词的核心：清晰指令、角色设定、目标明确、给AI思考时间。 常见误区：模糊指令、缺乏上下文、过度复杂化。 3. Prompt的未来：高杠杆技能 or 过渡技术？ 课程最后探讨了Prompt的长期价值： OpenAI CEO观点：未来5年内，提示工程将融入各个领域，人机交互主要通过自然语言完成，而不仅仅是提示词。 李彦宏预测：自然语言交互将带来“提示词革命”，未来10年，50%的工作可能与提示词工程相关，薪酬水平取决于提示词写得好不好。 我的理解：Prompt不仅是当前的AI沟通技巧，更是未来人机交互的基础能力。即使未来AI更智能，如何精准表达需求仍然是核心竞争力。 二、学习收获与成长 1. 技能提升 掌握了AI沟通的核心方法：学会如何用结构化提示（5W1H、CoT、角色设定）让AI更精准输出。 提升了提示优化能力：通过反思链、自我一致性、RAG等技巧，让,20250808132232,0,0359190041751813338,False,False,False,False,False,False,False,20250808132232,Lv 0,2,0,20250808132232,0,https://fileserver.developer.huaweicloud.com/FileServer/getFile/cmtybbs/011/111/111/0000000000011111111.20250327131728.72665038097853008518628738742225:20250814024529:2400:AC37E6BF2510F90552C8C0F17422F77728003DD5B44943AA63EC7CE59B82A525.png,0101178462695499013,昇腾主版块,0,2,"[{""topicTagId"": ""6c3e6ddb506711edade3fa163edea0c5"", ""description"": null, ""tagName"": null, ""recentQuotes"": null, ""categoryId"": null, ""quotes"": null}]", 【十天成长计划】+提示工程,0697178462739351002,经验分享,0259190041751813189,,[],8
