作者,完成任务数,完成率,完成的任务,平均内容长度,平均分,总分,打卡次数,排名,最低分,最高分
hid_pzz4s26z6gn5x_b,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",685.0,90.83,1090,12,1,88,92
igoinghome,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",996.0,90.08,1081,12,2,85,95
hid_cplfok193,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",939.0,90.0,1080,12,3,85,95
华为 小y,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",728.0,88.67,1064,12,4,85,92
zmy,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",921.0,88.25,1059,12,5,85,92
hid_ycasd05s3uu8_nh,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",866.0,88.08,1057,12,6,85,92
yd_246301368,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",364.0,87.92,1055,12,7,85,92
胡宇飞,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",837.0,87.75,1053,12,8,85,90
hid_f6mi3edhbi9ggpg,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",693.0,87.38,1136,13,9,85,95
hid_w1sdefyi-bf-iw9,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",356.0,87.08,1045,12,10,85,92
wangshuang188,12,100.0%,"DAY1, DAY2, DAY3, DAY4, DAY5, DAY6, DAY7, DAY8, DAY9, DAY10, DAY11, DAY12",366.0,86.83,1042,12,11,85,92
